Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CWST,"Casella Waste Sys",30.59,0.18,+0.59%,30.15,30.65,29.57,260400,01/28/19
CWT,"California Water Service Group Holding",46.42,-0.44,-0.94%,46.73,47.06,46.24,190200,01/28/19
CXO,"Concho Resources Inc",115.99,-2.56,-2.16%,116.46,116.95,115.1,1288800,01/28/19
CXP,"Columbia Property Trust Inc",21.25,0.03,+0.14%,21.16,21.36,21.13,525000,01/28/19
CXW,"Corecivic Inc",19.24,0.07,+0.37%,19.12,19.36,18.89,621000,01/28/19
CY,"Cypress Semiconductr",13.91,-0.09,-0.64%,13.59,14.01,13.52,3335200,01/28/19
CYH,"Community Health Systems",3.6,-0.14,-3.74%,3.76,3.76,3.54,1719100,01/28/19
CYRX,"Cryoport Inc",9.41,-0.27,-2.79%,9.55,9.72,9.31,99300,01/28/19
CYTK,Cytokinetics,6.87,-0.18,-2.55%,7,7,6.8,190900,01/28/19
CZNC,"Citizens Nrthn Cp",24.84,-0.11,-0.44%,25,25,24.42,13200,01/28/19
CZR,"Caesars Entertainment Corp",8.75,-0.12,-1.35%,8.72,8.86,8.65,17963301,01/28/19
D,"Dominion Resources",68.37,-0.79,-1.14%,68.98,69.23,68.28,7980500,01/28/19
DAKT,"Daktronics Inc",7.5,-0.15,-1.96%,7.6,7.64,7.45,134200,01/28/19
DAL,"Delta Air Lines Inc",48.01,0.32,+0.67%,47.43,48.44,47.33,8212100,01/28/19
DAN,"Dana Inc",17.43,-0.35,-1.97%,17.5,17.69,17.28,2326100,01/28/19
DAR,"Darling International Inc",20.98,-0.02,-0.10%,20.85,21.09,20.79,495600,01/28/19
DATA,"Tableau Software Inc Class A",125.96,-3,-2.33%,127.25,128.12,125.55,972400,01/28/19
DBD,"Diebold Nixdorf Inc",4.17,-0.09,-2.11%,4.26,4.29,4.12,741200,01/28/19
DCI,"Donaldson Company",46.72,-0.96,-2.01%,47,47.13,46.26,379100,01/28/19
DCO,"Ducommun Inc",39.4,0.09,+0.23%,39.03,39.62,38.79,32700,01/28/19
DCOM,"Dime Community Bncsh",19.52,-0.24,-1.21%,19.7,19.7,19.1,144100,01/28/19
DCPH,"Deciphera Pharmaceuticals Inc",25.31,-2.02,-7.39%,26.88,26.88,25.19,163500,01/28/19
DDD,"3D Systems Corp",11.54,0.03,+0.26%,11.42,11.62,11.2,1877100,01/28/19
DDS,Dillard's,66.92,-0.32,-0.48%,66.69,67.3,66.05,187800,01/28/19
DE,"Deere & Company",156.49,-5.01,-3.10%,157.09,158.42,155.2,2199300,01/28/19
DEA,"Easterly Government Properties",17.82,0.33,+1.89%,17.43,17.97,17.36,989800,01/28/19
DECK,"Deckers Outdoor Corp",125.99,0.63,+0.50%,123.72,127.45,123.72,542500,01/28/19
DEI,"Douglas Emmett",37.05,0.28,+0.76%,36.62,37.12,36.59,633700,01/28/19
DELL,"Dell Technologies Inc.",46.9,0.99,+2.16%,45.9,47.38,45.62,5951100,01/28/19
DENN,"Dennys Corp",17.75,-0.02,-0.11%,17.77,17.86,17.44,285600,01/28/19
DERM,"Dermira Inc Cm ST",6.47,0.25,+4.02%,6.24,6.75,6.05,1121600,01/28/19
DF,"Dean Foods Company",4.32,-0.19,-4.21%,4.51,4.51,4.31,1681300,01/28/19
DFIN,"Donnelly Financial Solutions Inc",14.45,-0.17,-1.16%,14.45,14.68,14.24,102400,01/28/19
DFRG,"Del Frisco's Restrnt",7.82,-0.08,-1.01%,7.85,7.97,7.81,386800,01/28/19
DFS,"Discover Financial Services",67.36,0.63,+0.94%,66.24,67.36,65.81,2209100,01/28/19
DG,"Dollar General Corp",114.12,-0.08,-0.07%,113.1,114.15,113.05,1268600,01/28/19
DGICA,"Donegal Group Cl A",13.23,-0.1,-0.75%,13.29,13.5,13.12,25300,01/28/19
DGII,"Digi Intl Inc",11.36,-0.04,-0.35%,11.31,11.5,11.11,231600,01/28/19
DGX,"Quest Diagnostics Inc",85.49,0.08,+0.09%,85.03,86.13,84.5,918900,01/28/19
DHI,"D.R. Horton",36.39,-0.91,-2.44%,36.53,37.46,36.17,10156899,01/28/19
DHIL,"Diamond Hill Inv",156.01,-1.26,-0.80%,156.94,157.25,156.01,4100,01/28/19
DHR,"Danaher Corp",106.03,-0.3,-0.28%,105.54,106.04,104.96,2100400,01/28/19
