ACT Symbol,Company Name,Security Type,Weight,Value,Industry
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.21,"338,727,926.78",Real Estate
BK,BANK OF NEW YORK MELLON CORP,Equity,0.21,"329,779,220.16",Financials
GD,GENERAL DYNAMICS CORP,Equity,0.2,"327,185,186.44",Industrials
MU,MICRON TECHNOLOGY INC,Equity,0.2,"324,656,145.99",Information Technology
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.2,"323,569,956.96",Health Care
EXC,EXELON CORP,Equity,0.2,"321,049,064.02",Utilities
MMC,MARSH & MCLENNAN INC,Equity,0.2,"318,084,817.35",Financials
ZTS,ZOETIS INC CLASS A,Equity,0.19,"310,324,868.23",Health Care
PLD,PROLOGIS REIT INC,Equity,0.19,"307,109,926.14",Real Estate
MPC,MARATHON PETROLEUM CORP,Equity,0.19,"305,966,499.58",Energy
ILMN,ILLUMINA INC,Equity,0.19,"301,611,842.98",Health Care
ITW,ILLINOIS TOOL INC,Equity,0.19,"301,162,108.94",Industrials
MET,METLIFE INC,Equity,0.19,"300,234,391.52",Financials
FDX,FEDEX CORP,Equity,0.19,"298,646,154.09",Industrials
AGN,ALLERGAN,Equity,0.18,"295,171,935.60",Health Care
EMR,EMERSON ELECTRIC,Equity,0.18,"292,895,298.75",Industrials
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.18,"291,182,740.38",Financials
ECL,ECOLAB INC,Equity,0.18,"289,867,733.31",Materials
HUM,HUMANA INC,Equity,0.18,"289,308,939.92",Health Care
PGR,PROGRESSIVE CORP,Equity,0.18,"286,488,759.15",Financials
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.18,"285,096,279.16",Information Technology
KMB,KIMBERLY CLARK CORP,Equity,0.18,"281,483,679.30",Consumer Staples
AON,AON PLC CLASS A,Equity,0.18,"281,110,251.52",Financials
PSX,PHILLIPS,Equity,0.18,"280,420,458.48",Energy
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.17,"274,498,378.92",Utilities
BBT,BB AND T CORP,Equity,0.17,"271,338,449.19",Financials
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,0.17,"269,350,187.16",Materials
PRU,PRUDENTIAL FINANCIAL INC,Equity,0.17,"267,026,080.05",Financials
ADI,ANALOG DEVICES INC,Equity,0.17,"266,617,622.18",Information Technology
WM,WASTE MANAGEMENT INC,Equity,0.17,"266,367,660.24",Industrials
AMAT,APPLIED MATERIAL INC,Equity,0.16,"264,238,449.51",Information Technology
HCA,HCA HEALTHCARE INC,Equity,0.16,"262,021,147.44",Health Care
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.16,"261,856,439.60",Financials
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.16,"258,200,222.55",Financials
HPQ,HP INC,Equity,0.16,"256,695,705.82",Information Technology
TGT,TARGET CORP,Equity,0.16,"256,535,112.75",Consumer Discretionary
AFL,AFLAC INC,Equity,0.16,"252,470,985.00",Financials
BAX,BAXTER INTERNATIONAL INC,Equity,0.16,"251,325,532.88",Health Care
KMI,KINDER MORGAN INC,Equity,0.16,"249,780,841.80",Energy
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.16,"248,959,301.77",Cash and/or Derivatives
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,0.16,"248,493,836.84",Consumer Discretionary
USD,USD CASH,Cash,0.15,"247,317,149.16",Cash and/or Derivatives
SHW,SHERWIN WILLIAMS,Equity,0.15,"247,171,211.28",Materials
VLO,VALERO ENERGY CORP,Equity,0.15,"245,820,827.16",Energy
EW,EDWARDS LIFESCIENCES CORP,Equity,0.15,"245,190,188.10",Health Care
ADSK,AUTODESK INC,Equity,0.15,"240,925,436.06",Information Technology
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.15,"239,849,473.00",Information Technology
ROST,ROSS STORES INC,Equity,0.15,"239,449,719.50",Consumer Discretionary
ETN,EATON PLC,Equity,0.15,"239,357,179.32",Industrials
EL,ESTEE LAUDER INC CLASS A,Equity,0.15,"238,156,014.50",Consumer Staples
TRV,TRAVELERS COMPANIES INC,Equity,0.15,"235,866,920.72",Financials
EQIX,EQUINIX REIT INC,Equity,0.15,"234,653,505.10",Real Estate
F,F MOTOR,Equity,0.14,"232,329,581.90",Consumer Discretionary
EBAY,EBAY INC,Equity,0.14,"231,137,921.78",Consumer Discretionary
FISV,FISERV INC,Equity,0.14,"230,795,568.52",Information Technology
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Equity,0.14,"226,176,929.30",Industrials
ROP,ROPER TECHNOLOGIES INC,Equity,0.14,"224,080,144.26",Industrials
WMB,WILLIAMS INC,Equity,0.14,"223,543,095.80",Energy
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.14,"223,433,646.24",Health Care
ALL,ALLSTATE CORP,Equity,0.14,"221,549,611.85",Financials
RHT,RED HAT INC,Equity,0.14,"220,885,516.01",Information Technology
SRE,SEMPRA ENERGY,Equity,0.14,"220,869,468.16",Utilities
SYY,SYSCO CORP,Equity,0.14,"219,775,825.47",Consumer Staples
DAL,DELTA AIR LINES INC,Equity,0.14,"217,940,728.32",Industrials
ATVI,ACTIVISION BLIZZARD INC,Equity,0.13,"215,692,141.50",Communication
XLNX,XILINX INC,Equity,0.13,"211,577,669.25",Information Technology
DG,DOLLAR GENERAL CORP,Equity,0.13,"210,810,038.58",Consumer Discretionary
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.13,"209,147,449.31",Consumer Discretionary
PSA,PUBLIC STORAGE REIT,Equity,0.13,"205,462,498.60",Real Estate
YUM,YUM BRANDS INC,Equity,0.13,"202,944,609.75",Consumer Discretionary
STI,SUNTRUST BANKS INC,Equity,0.13,"202,824,437.79",Financials
ALXN,ALEXION PHARMACEUTICALS INC,Equity,0.12,"198,110,293.81",Health Care
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Equity,0.12,"197,660,475.60",Utilities
EA,ELECTRONIC ARTS INC,Equity,0.12,"196,321,478.32",Communication
MCO,MOODYS CORP,Equity,0.12,"196,085,652.40",Financials
TEL,TE CONNECTIVITY LTD,Equity,0.12,"194,547,235.00",Information Technology
APH,AMPHENOL CORP CLASS A,Equity,0.12,"193,628,793.38",Information Technology
XEL,XCEL ENERGY INC,Equity,0.12,"193,511,158.19",Utilities
WELL,WELLTOWER INC,Equity,0.12,"193,033,156.16",Real Estate
VFC,VF CORP,Equity,0.12,"192,063,648.50",Consumer Discretionary
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Equity,0.12,"190,806,933.34",Materials
OKE,ONEOK INC,Equity,0.12,"190,752,707.20",Energy
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.12,"190,699,003.76",Consumer Staples
GLW,CORNING INC,Equity,0.12,"189,989,444.90",Information Technology
GIS,GENERAL MILLS INC,Equity,0.12,"189,417,756.32",Consumer Staples
LRCX,LAM RESEARCH CORP,Equity,0.12,"188,444,632.62",Information Technology
STT,STATE STREET CORP,Equity,0.12,"187,385,462.80",Financials
EQR,EQUITY RESIDENTIAL REIT,Equity,0.12,"186,785,988.22",Real Estate
HAL,HALLIBURTON,Equity,0.12,"186,534,716.40",Energy
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.12,"184,916,298.32",Real Estate
LUV,SOUTHWEST AIRLINES,Equity,0.12,"184,847,657.68",Industrials
PPG,PPG INDUSTRIES INC,Equity,0.11,"182,108,561.60",Materials
IR,INGERSOLL RAND PLC,Equity,0.11,"178,742,431.28",Industrials
CNC,CENTENE CORP,Equity,0.11,"178,108,337.08",Health Care
MCK,MCKESSON CORP,Equity,0.11,"174,898,925.19",Health Care
ED,CONSOLIDATED EDISON INC,Equity,0.11,"174,336,558.60",Utilities
